Country or region,Rank,Score,GDP,Health,year,States
Ethiopia,127,4.35,0.308,0.391,2018,AFRICA
Georgia,128,4.34,0.853,0.643,2018,EUROPE
Armenia,129,4.321,0.816,0.666,2018,ASIA
Myanmar,130,4.308,0.682,0.429,2018,ASIA
Chad,131,4.301,0.358,0.053,2018,AFRICA
Dem. Rep. Congo,132,4.245,0.069,0.204,2018,AFRICA
India,133,4.19,0.721,0.485,2018,ASIA
Niger,134,4.166,0.131,0.221,2018,AFRICA
Uganda,135,4.161,0.322,0.237,2018,AFRICA
Benin,136,4.141,0.378,0.24,2018,AFRICA
Sudan,137,4.139,0.605,0.312,2018,AFRICA
Ukraine,138,4.103,0.793,0.609,2018,EUROPE
Togo,139,3.999,0.259,0.253,2018,AFRICA
Guinea,140,3.964,0.344,0.211,2018,AFRICA
Lesotho,141,3.808,0.472,0.079,2018,AFRICA
Angola,142,3.795,0.73,0.269,2018,AFRICA
Madagascar,143,3.774,0.262,0.402,2018,AFRICA
Zimbabwe,144,3.692,0.357,0.248,2018,AFRICA
Afghanistan,145,3.632,0.332,0.255,2018,ASIA
Botswana,146,3.59,1.017,0.417,2018,AFRICA
Malawi,147,3.587,0.186,0.306,2018,AFRICA
Haiti,148,3.582,0.315,0.289,2018,NORTH AMERICA
Liberia,149,3.495,0.076,0.267,2018,AFRICA
Syria,150,3.462,0.689,0.539,2018,ASIA
Rwanda,151,3.408,0.332,0.4,2018,AFRICA
Yemen,152,3.355,0.442,0.343,2018,ASIA
Tanzania,153,3.303,0.455,0.381,2018,AFRICA
South Sudan,154,3.254,0.337,0.177,2018,AFRICA
Central African Republic,155,3.083,0.024,0.01,2018,AFRICA
Burundi,156,2.905,0.091,0.145,2018,AFRICA
Norway,1,7.53700017929077,1.61646318435669,0.796666502952576,2017,EUROPE
Denmark,2,7.52199983596802,1.48238301277161,0.792565524578094,2017,EUROPE
Iceland,3,7.50400018692017,1.480633020401,0.833552122116089,2017,EUROPE
Switzerland,4,7.49399995803833,1.56497955322266,0.858131289482117,2017,EUROPE
Finland,5,7.4689998626709,1.44357192516327,0.80915766954422,2017,EUROPE
Netherlands,6,7.3769998550415,1.50394463539124,0.810696125030518,2017,EUROPE
Canada,7,7.31599998474121,1.47920441627502,0.83455765247345,2017,NORTH AMERICA
New Zealand,8,7.31400012969971,1.40570604801178,0.816759705543518,2017,OCEANIA
Sweden,9,7.28399991989136,1.49438726902008,0.830875158309937,2017,EUROPE
Australia,10,7.28399991989136,1.484414935112,0.84388679265976,2017,OCEANIA
Israel,11,7.21299982070923,1.37538242340088,0.83840399980545,2017,ASIA
Costa Rica,12,7.0789999961853,1.10970628261566,0.759509265422821,2017,NORTH AMERICA
Austria,13,7.00600004196167,1.48709726333618,0.815328419208527,2017,EUROPE
United States,14,6.99300003051758,1.54625928401947,0.77428662776947,2017,NORTH AMERICA
Ireland,15,6.97700023651123,1.53570663928986,0.80978262424469,2017,EUROPE
Germany,16,6.95100021362305,1.48792338371277,0.798950731754303,2017,EUROPE
Belgium,17,6.89099979400635,1.46378076076508,0.818091869354248,2017,EUROPE
Luxembourg,18,6.86299991607666,1.74194359779358,0.845089495182037,2017,ASIA
United Kingdom,19,6.71400022506714,1.44163393974304,0.805335938930511,2017,EUROPE
Chile,20,6.65199995040894,1.25278460979462,0.819479703903198,2017,SOUTH AMERICA
United Arab Emirates,21,6.64799976348877,1.62634336948395,0.726798236370087,2017,ASIA
Brazil,22,6.63500022888184,1.10735321044922,0.616552352905273,2017,SOUTH AMERICA
Czech Republic,23,6.60900020599365,1.35268235206604,0.754444003105164,2017,EUROPE
Argentina,24,6.59899997711182,1.18529546260834,0.695137083530426,2017,SOUTH AMERICA
Mexico,25,6.57800006866455,1.15318381786346,0.709978997707367,2017,NORTH AMERICA
Singapore,26,6.57200002670288,1.69227766990662,0.949492394924164,2017,ASIA
Malta,27,6.52699995040894,1.34327983856201,0.821944236755371,2017,EUROPE
Uruguay,28,6.4539999961853,1.21755969524384,0.719216823577881,2017,SOUTH AMERICA
Guatemala,29,6.4539999961853,0.872001945972443,0.540239989757538,2017,NORTH AMERICA
Panama,30,6.4520001411438,1.23374843597412,0.706156134605408,2017,NORTH AMERICA
France,31,6.44199991226196,1.43092346191406,0.844465851783752,2017,EUROPE
Thailand,32,6.42399978637695,1.12786877155304,0.647239029407501,2017,ASIA
Taiwan Province of China,33,6.42199993133545,1.43362653255463,0.793984234333038,2017,ASIA
Spain,34,6.40299987792969,1.38439786434174,0.888960599899292,2017,EUROPE
Qatar,35,6.375,1.87076568603516,0.710098087787628,2017,ASIA
Colombia,36,6.35699987411499,1.07062232494354,0.595027923583984,2017,SOUTH AMERICA
Saudi Arabia,37,6.3439998626709,1.53062355518341,0.590148329734802,2017,ASIA
Trinidad and Tobago,38,6.16800022125244,1.36135590076447,0.519983291625977,2017,NORTH AMERICA
Kuwait,39,6.10500001907349,1.63295245170593,0.632105708122253,2017,ASIA
Slovakia,40,6.09800004959106,1.32539355754852,0.712732911109924,2017,EUROPE
Bahrain,41,6.08699989318848,1.48841226100922,0.653133034706116,2017,ASIA
Malaysia,42,6.08400011062622,1.29121541976929,0.618784427642822,2017,ASIA
Nicaragua,43,6.07100009918213,0.737299203872681,0.653095960617065,2017,NORTH AMERICA
Ecuador,44,6.00799989700317,1.00082039833069,0.685636222362518,2017,SOUTH AMERICA
El Salvador,45,6.00299978256226,0.909784495830536,0.596018552780151,2017,NORTH AMERICA
Poland,46,5.97300004959106,1.29178786277771,0.699475347995758,2017,EUROPE
Uzbekistan,47,5.97100019454956,0.786441087722778,0.498272627592087,2017,ASIA
Italy,48,5.96400022506714,1.39506661891937,0.853144347667694,2017,EUROPE
Russia,49,5.96299982070923,1.28177809715271,0.547349333763123,2017,EUROPE
Belize,50,5.95599985122681,0.907975316047668,0.450191766023636,2017,NORTH AMERICA
Japan,51,5.92000007629395,1.41691517829895,0.913475871086121,2017,ASIA
Lithuania,52,5.90199995040894,1.31458234786987,0.62894994020462,2017,EUROPE
Algeria,53,5.87200021743774,1.09186446666718,0.617584645748138,2017,AFRICA
Latvia,54,5.84999990463257,1.26074862480164,0.638566970825195,2017,EUROPE
South Korea,55,5.83799982070923,1.40167844295502,0.900214076042175,2017,ASIA
Moldova,56,5.83799982070923,0.728870630264282,0.589465200901031,2017,EUROPE
Romania,57,5.82499980926514,1.21768391132355,0.685158312320709,2017,EUROPE
Bolivia,58,5.82299995422363,0.833756566047668,0.473630249500275,2017,SOUTH AMERICA
Turkmenistan,59,5.82200002670288,1.13077676296234,0.437726080417633,2017,ASIA
Kazakhstan,60,5.81899976730347,1.28455626964569,0.606041550636292,2017,ASIA
North Cyprus,61,5.80999994277954,1.3469113111496,0.834647238254547,2017,EUROPE
Slovenia,62,5.75799989700317,1.3412059545517,0.790828227996826,2017,EUROPE
Peru,63,5.71500015258789,1.03522527217865,0.630166113376617,2017,SOUTH AMERICA
Mauritius,64,5.62900018692017,1.18939554691315,0.638007462024689,2017,AFRICA
Cyprus,65,5.62099981307983,1.35593807697296,0.84471470117569,2017,ASIA
Estonia,66,5.61100006103516,1.32087934017181,0.695168316364288,2017,EUROPE
Belarus,67,5.56899976730347,1.15655755996704,0.637714266777039,2017,EUROPE
Libya,68,5.52500009536743,1.10180306434631,0.520169019699097,2017,AFRICA
Turkey,69,5.5,1.19827437400818,0.637605607509613,2017,ASIA
Paraguay,70,5.49300003051758,0.932537317276001,0.579250693321228,2017,SOUTH AMERICA
Hong Kong,71,5.47200012207031,1.55167484283447,0.943062424659729,2017,ASIA
Philippines,72,5.42999982833862,0.85769921541214,0.468009054660797,2017,ASIA
Serbia,73,5.39499998092651,1.06931757926941,0.65078467130661,2017,EUROPE
Jordan,74,5.33599996566772,0.991012394428253,0.604590058326721,2017,ASIA
Hungary,75,5.32399988174438,1.2860119342804,0.687763452529907,2017,EUROPE
Jamaica,76,5.31099987030029,0.925579309463501,0.641022384166718,2017,NORTH AMERICA
Croatia,77,5.29300022125244,1.22255623340607,0.701288521289825,2017,EUROPE
Kosovo,78,5.27899980545044,0.951484382152557,0.541452050209045,2017,EUROPE
China,79,5.27299976348877,1.08116579055786,0.741415500640869,2017,ASIA
Pakistan,80,5.26900005340576,0.72688353061676,0.402047783136368,2017,ASIA
Indonesia,81,5.26200008392334,0.995538592338562,0.492345720529556,2017,ASIA
Venezuela,82,5.25,1.12843120098114,0.617144227027893,2017,SOUTH AMERICA
Montenegro,83,5.23699998855591,1.12112903594971,0.667464673519135,2017,EUROPE
Morocco,84,5.2350001335144,0.878114581108093,0.59771066904068,2017,AFRICA
Azerbaijan,85,5.23400020599365,1.15360176563263,0.540775775909424,2017,ASIA
Dominican Republic,86,5.23000001907349,1.07937383651733,0.574873745441437,2017,NORTH AMERICA
Greece,87,5.22700023651123,1.28948748111725,0.810198903083801,2017,EUROPE
Lebanon,88,5.22499990463257,1.07498753070831,0.735081076622009,2017,ASIA
Portugal,89,5.19500017166138,1.3151752948761,0.795843541622162,2017,EUROPE
Bosnia and Herzegovina,90,5.18200016021729,0.982409417629242,0.705186307430267,2017,EUROPE
Honduras,91,5.18100023269653,0.730573117733002,0.582569479942322,2017,NORTH AMERICA
Macedonia,92,5.17500019073486,1.06457793712616,0.644948184490204,2017,EUROPE
Somalia,93,5.15100002288818,0.0226431842893362,0.113989137113094,2017,AFRICA
Vietnam,94,5.07399988174438,0.788547575473785,0.652168989181519,2017,ASIA
Nigeria,95,5.07399988174438,0.783756256103516,0.0569157302379608,2017,AFRICA
Tajikistan,96,5.04099988937378,0.524713635444641,0.529235124588013,2017,ASIA
Bhutan,97,5.01100015640259,0.885416388511658,0.495879292488098,2017,ASIA
Kyrgyzstan,98,5.00400018692017,0.596220076084137,0.553457796573639,2017,ASIA
Nepal,99,4.96199989318848,0.479820191860199,0.504130780696869,2017,ASIA
Mongolia,100,4.95499992370605,1.02723586559296,0.557783484458923,2017,ASIA
South Africa,101,4.8289999961853,1.05469870567322,0.187080070376396,2017,AFRICA
Tunisia,102,4.80499982833862,1.00726580619812,0.613212049007416,2017,AFRICA
Palestinian Territories,103,4.77500009536743,0.716249227523804,0.565666973590851,2017,AFRICA
Egypt,104,4.7350001335144,0.989701807498932,0.520187258720398,2017,AFRICA
Bulgaria,105,4.71400022506714,1.1614590883255,0.708217680454254,2017,EUROPE
Sierra Leone,106,4.70900011062622,0.36842092871666,0.0055647538974881,2017,AFRICA
Cameroon,107,4.69500017166138,0.564305365085602,0.132892116904259,2017,AFRICA
Iran,108,4.69199991226196,1.15687310695648,0.639333188533783,2017,ASIA
Albania,109,4.64400005340576,0.996192753314972,0.731159746646881,2017,ASIA
Bangladesh,110,4.60799980163574,0.586682975292206,0.533241033554077,2017,ASIA
Namibia,111,4.57399988174438,0.964434325695038,0.33861181139946,2017,AFRICA
Kenya,112,4.55299997329712,0.560479462146759,0.309988349676132,2017,AFRICA
Mozambique,113,4.55000019073486,0.234305649995804,0.106654435396194,2017,AFRICA
Myanmar,114,4.54500007629395,0.367110550403595,0.397522568702698,2017,ASIA
Senegal,115,4.53499984741211,0.479309022426605,0.409362852573395,2017,AFRICA
Zambia,116,4.51399993896484,0.636406779289246,0.257835894823074,2017,AFRICA
Iraq,117,4.49700021743774,1.10271048545837,0.501180469989777,2017,ASIA
Gabon,118,4.46500015258789,1.1982102394104,0.356578588485718,2017,AFRICA
